"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Tnfaip8",2619,1.58772472565508e-61,0.225354781768642,0.16,0.12,4.30797349811993e-57,"14days",0.04,"TNFAIP8"
"Slc22a30",722,0,-1.68371239774174,0.037,0.154,0,"4hours",-0.117,"SLC22A9"
"Slc22a30",10,0,1.24622536178861,0.24,0.114,0,"Control",0.126,"SLC22A9"
"Slc22a30",2770,0,0.908742909633849,0.229,0.121,0,"6weeks",0.108,"SLC22A9"
"Slc22a30",1989,0,-1.0079454009643,0.103,0.148,0,"2days",-0.045,"SLC22A9"
"Slc22a30",1405,0,-2.23363640170893,0.009,0.166,0,"12hours",-0.157,"SLC22A9"
"Ranbp3l",11,0,1.20976894718935,0.136,0.055,0,"Control",0.081,"RANBP3L"
"Ass1",12,0,1.18733150596158,0.209,0.125,0,"Control",0.084,"ASS1"
"Ass1",2458,1.21168903542463e-135,-0.371452375389933,0.137,0.144,3.28767585981764e-131,"14days",-0.00699999999999998,"ASS1"
"Ass1",1407,0,-2.29511524107144,0.027,0.166,0,"12hours",-0.139,"ASS1"
"Ass1",714,0,-1.48619204388089,0.062,0.154,0,"4hours",-0.092,"ASS1"
"Ass1",2111,1.9490282434121e-212,0.517674429213163,0.214,0.129,5.28829833285005e-208,"2days",0.085,"ASS1"
"Aacs",14,0,1.14209256445322,0.134,0.059,0,"Control",0.075,"AACS"
"Ghr",768,1.39470760400757e-253,-1.21667521189798,0.217,0.308,3.78426014195373e-249,"4hours",-0.091,"GHR"
"Ghr",1984,0,-0.623171946692051,0.352,0.287,0,"2days",0.065,"GHR"
"Ghr",2668,1.29480776126714e-46,0.208817466347356,0.314,0.295,3.51320189864613e-42,"14days",0.019,"GHR"
"Ghr",15,0,1.13237918092931,0.317,0.293,0,"Control",0.024,"GHR"
"Ghr",1388,0,-1.65975727595201,0.237,0.31,0,"12hours",-0.073,"GHR"
"Ghr",2935,4.73219989471153e-109,0.336213850907808,0.317,0.294,1.28398779743208e-104,"6weeks",0.023,"GHR"
"Cdh18",16,0,1.08281284311286,0.268,0.145,0,"Control",0.123,"CDH18"
"Cdh18",1973,0,-0.344645907893854,0.204,0.164,0,"2days",0.04,"CDH18"
"Cdh18",2426,2.41505373264247e-174,0.282080111099466,0.158,0.174,6.55276529277882e-170,"14days",-0.016,"CDH18"
"Cdh18",2793,0,-2.15222898196144,0.063,0.196,0,"6weeks",-0.133,"CDH18"
"Trps1",2797,1.11253692925361e-308,0.546978045205606,0.32,0.25,1.11253692952841e-308,"6weeks",0.07,"TRPS1"
"Trps1",716,0,-1.50996194286777,0.122,0.281,0,"4hours",-0.159,"TRPS1"
"Trps1",1373,0,-1.43545691104249,0.17,0.281,0,"12hours",-0.111,"TRPS1"
"Trps1",17,0,1.0827464615828,0.304,0.252,0,"Control",0.052,"TRPS1"
"Trps1",1980,0,-0.488913121507848,0.279,0.26,0,"2days",0.019,"TRPS1"
"Hnrnpr",941,9.31339273063467e-115,-0.776790912683536,0.083,0.142,2.5270028496031e-110,"4hours",-0.059,"HNRNPR"
"Hnrnpr",2038,1.12920839295882e-276,-0.7288009230162,0.111,0.14,3.06388113261516e-272,"2days",-0.029,"HNRNPR"
"Hnrnpr",18,0,1.0645775502157,0.173,0.125,0,"Control",0.048,"HNRNPR"
"Hnrnpr",1625,7.55223169051395e-121,-0.222205920764304,0.15,0.132,2.04914702458715e-116,"12hours",0.018,"HNRNPR"
"Hnrnpr",2588,1.14084351620623e-69,-0.405709956206595,0.123,0.138,3.09545071252237e-65,"14days",-0.015,"HNRNPR"
"Sugct",2882,1.32131269009179e-151,0.428517928154669,0.249,0.172,3.58511772202607e-147,"6weeks",0.077,"SUGCT"
"Sugct",19,0,1.06060571254033,0.274,0.163,0,"Control",0.111,"SUGCT"
"Sugct",1403,0,-2.07272833511858,0.029,0.217,0,"12hours",-0.188,"SUGCT"
"Sugct",822,1.35732842551076e-204,-0.852736610397447,0.117,0.196,3.68283921693835e-200,"4hours",-0.079,"SUGCT"
"Sugct",1982,0,-0.608161773807371,0.161,0.192,0,"2days",-0.031,"SUGCT"
"Slc6a20b",20,0,1.03158209455609,0.211,0.112,0,"Control",0.099,"SLC6A20"
"Slc6a20b",697,0,-1.12254058563849,0.05,0.144,0,"4hours",-0.094,"SLC6A20"
"Slc6a20b",3008,3.07750271420241e-76,0.288537988600738,0.171,0.124,8.35018811444539e-72,"6weeks",0.047,"SLC6A20"
"Slc6a20b",1375,0,-1.46579397979381,0.028,0.153,0,"12hours",-0.125,"SLC6A20"
"Fggy",870,2.35817343376008e-161,-0.71246806459621,0.148,0.232,6.39843197782122e-157,"4hours",-0.084,"FGGY"
"Fggy",1398,0,-1.85326003845113,0.061,0.254,0,"12hours",-0.193,"FGGY"
"Fggy",21,0,1.02615339604991,0.298,0.203,0,"Control",0.095,"FGGY"
"Pecr",2899,2.12577577441422e-133,0.423557676058663,0.17,0.11,5.7678674087181e-129,"6weeks",0.06,"PECR"
"Pecr",2282,1.31645500140649e-64,0.211945106857875,0.151,0.115,3.57193735531624e-60,"2days",0.036,"PECR"
"Pecr",721,0,-1.61665748145201,0.017,0.134,0,"4hours",-0.117,"PECR"
"Pecr",23,0,0.944170146708863,0.189,0.103,0,"Control",0.086,"PECR"
"Pecr",1397,0,-1.8454934646347,0.01,0.142,0,"12hours",-0.132,"PECR"
"Enpp2",793,1.61153111465098e-232,-0.936860095181051,0.074,0.169,4.37256737338251e-228,"4hours",-0.095,"ENPP2"
"Enpp2",1384,0,-1.60541369134016,0.04,0.181,0,"12hours",-0.141,"ENPP2"
"Enpp2",1953,0,0.443012406377176,0.252,0.14,0,"2days",0.112,"ENPP2"
"Enpp2",24,0,0.922657163779061,0.211,0.144,0,"Control",0.067,"ENPP2"
"Slc5a12",1921,0,1.22883461209591,0.227,0.119,0,"2days",0.108,"SLC5A12"
"Slc5a12",3119,9.20315497941621e-48,0.346815613268756,0.156,0.133,2.497092040565e-43,"6weeks",0.023,"SLC5A12"
"Slc5a12",1412,0,-3.82392265341321,0.028,0.158,0,"12hours",-0.13,"SLC5A12"
"Slc5a12",25,0,0.918630155178603,0.194,0.122,0,"Control",0.072,"SLC5A12"
"Slc5a12",728,0,-2.53158560829541,0.06,0.147,0,"4hours",-0.087,"SLC5A12"
"Slc5a12",2392,1.14642120240565e-248,-0.98987146523582,0.114,0.142,3.11058464848725e-244,"14days",-0.028,"SLC5A12"
"Hsd17b11",651,0,0.656635476612051,0.177,0.152,0,"4hours",0.025,"HSD17B11"
"Hsd17b11",2367,0,-0.956991787999007,0.085,0.169,0,"14days",-0.084,"HSD17B11"
"Hsd17b11",1975,0,-0.411226903216822,0.167,0.153,0,"2days",0.014,"HSD17B11"
"Hsd17b11",27,0,0.89680699529578,0.218,0.138,0,"Control",0.08,"HSD17B11"
"Hsd17b11",2796,1.11253692925361e-308,-0.854714753593012,0.093,0.169,1.11253692942117e-308,"6weeks",-0.076,"HSD17B11"
"Snx29",1969,0,-0.230653284156342,0.346,0.276,0,"2days",0.07,"SNX29"
"Snx29",676,0,-0.685459250488317,0.153,0.305,0,"4hours",-0.152,"SNX29"
"Snx29",1394,0,-1.77205534892587,0.114,0.321,0,"12hours",-0.207,"SNX29"
"Snx29",28,0,0.894485575961746,0.367,0.266,0,"Control",0.101,"SNX29"
"Snx29",2829,1.72110233634583e-226,0.439112106842075,0.344,0.275,4.66986696920714e-222,"6weeks",0.069,"SNX29"
"Fut9",2943,5.70838781512709e-105,0.358712305269338,0.299,0.238,1.54885686587843e-100,"6weeks",0.061,"FUT9"
"Fut9",1408,0,-2.32931922982985,0.079,0.282,0,"12hours",-0.203,"FUT9"
"Fut9",725,0,-1.8940171568757,0.104,0.268,0,"4hours",-0.164,"FUT9"
"Fut9",2198,4.76225308861157e-144,0.353620247830033,0.32,0.235,1.29214213053298e-139,"2days",0.085,"FUT9"
"Fut9",29,0,0.892835663490633,0.32,0.23,0,"Control",0.09,"FUT9"
"Pdzrn3",1316,0,-0.942232517697619,0.068,0.151,0,"12hours",-0.083,"PDZRN3"
"Pdzrn3",3078,3.13355268216151e-57,0.3111859470277,0.166,0.131,8.50226849250883e-53,"6weeks",0.035,"PDZRN3"
"Pdzrn3",30,0,0.891570134111835,0.214,0.117,0,"Control",0.097,"PDZRN3"
"Pdzrn3",2178,2.71537200727509e-157,-0.269315586353826,0.137,0.137,7.36761886733951e-153,"2days",0,"PDZRN3"
"Pdzrn3",730,1.11253692925375e-308,-1.09109431974187,0.053,0.148,1.112536933416e-308,"4hours",-0.095,"PDZRN3"
"P3h2",1974,0,-0.410058143556138,0.224,0.225,0,"2days",-0.001,"P3H2"
"P3h2",2979,2.41289962271063e-86,0.35476790267793,0.27,0.214,6.54692054630075e-82,"6weeks",0.056,"P3H2"
"P3h2",691,0,-1.0420937808242,0.103,0.241,0,"4hours",-0.138,"P3H2"
"P3h2",31,0,0.884141910001212,0.314,0.201,0,"Control",0.113,"P3H2"
"P3h2",1359,0,-1.28996007494511,0.099,0.249,0,"12hours",-0.15,"P3H2"
"P3h2",2612,6.91072768711587e-64,0.201267368776541,0.269,0.216,1.87508774334515e-59,"14days",0.053,"P3H2"
"Ak4",32,0,0.872165795558357,0.11,0.041,0,"Control",0.069,"AK4"
"Ppm1k",33,0,0.855817473923136,0.12,0.05,0,"Control",0.07,"PPM1K"
"Hykk",34,0,0.85295980576963,0.186,0.102,0,"Control",0.084,"HYKK"
"Hykk",1378,0,-1.48555039261002,0.018,0.139,0,"12hours",-0.121,"HYKK"
"Hykk",792,2.68953192576358e-233,-0.894978297366477,0.051,0.128,7.29750697417431e-229,"4hours",-0.077,"HYKK"
"Hykk",2879,1.99079627444655e-154,0.499800728021014,0.17,0.108,5.40162753145582e-150,"6weeks",0.062,"HYKK"
"Cpeb3",35,0,0.845128105672624,0.265,0.178,0,"Control",0.087,"CPEB3"
"Cpeb3",1966,0,-0.219272900979326,0.214,0.193,0,"2days",0.021,"CPEB3"
"Cpeb3",3154,5.88325380846597e-39,0.213332876839456,0.228,0.189,1.59630325585107e-34,"6weeks",0.039,"CPEB3"
"Cpeb3",1030,8.61523722502055e-76,-0.455296447443528,0.141,0.204,2.33757231626482e-71,"4hours",-0.063,"CPEB3"
"Cpeb3",1353,0,-1.22233519560618,0.075,0.22,0,"12hours",-0.145,"CPEB3"
"Ctnna2",36,0,0.844471406227644,0.121,0.061,0,"Control",0.06,"CTNNA2"
"Thrb",884,3.70810311627753e-149,-0.632772427007179,0.157,0.247,1.00611961853958e-144,"4hours",-0.09,"THRB"
"Thrb",1323,0,-0.991104165377101,0.139,0.255,0,"12hours",-0.116,"THRB"
"Thrb",1970,0,-0.245853704576297,0.256,0.233,0,"2days",0.023,"THRB"
"Thrb",37,0,0.837435932487138,0.292,0.222,0,"Control",0.07,"THRB"
"Chpt1",865,2.31209045534279e-164,-0.338198663556614,0.177,0.265,6.2733950324816e-160,"4hours",-0.088,"CHPT1"
"Chpt1",1364,0,-1.37318751178389,0.135,0.279,0,"12hours",-0.144,"CHPT1"
"Chpt1",1967,0,-0.220394754358963,0.284,0.25,0,"2days",0.034,"CHPT1"
"Chpt1",38,0,0.836407963855335,0.306,0.242,0,"Control",0.064,"CHPT1"
"Cryl1",1383,0,-1.59696267695921,0.037,0.175,0,"12hours",-0.138,"CRYL1"
"Cryl1",2077,1.74087298884377e-242,0.391329274466455,0.225,0.138,4.7235106806298e-238,"2days",0.087,"CRYL1"
"Cryl1",946,7.67424968607853e-112,-0.603742791389323,0.093,0.16,2.08225416732369e-107,"4hours",-0.067,"CRYL1"
"Cryl1",2488,7.27676625071504e-114,-0.386088536806094,0.132,0.157,1.97440498680651e-109,"14days",-0.025,"CRYL1"
"Cryl1",39,0,0.836077220142659,0.212,0.137,0,"Control",0.075,"CRYL1"
"Rgl1",41,0,0.833135408986871,0.139,0.067,0,"Control",0.072,"RGL1"
"Pdzd2",42,0,0.828369509015128,0.226,0.14,0,"Control",0.086,"PDZD2"
"Pdzd2",1340,0,-1.09452052114866,0.062,0.177,0,"12hours",-0.115,"PDZD2"
"Pdzd2",3182,2.22807496655397e-31,0.207605892544787,0.184,0.152,6.04543580675089e-27,"6weeks",0.032,"PDZD2"
"Pdzd2",2547,1.3363750768707e-83,-0.42944669292734,0.125,0.165,3.62598649607328e-79,"14days",-0.04,"PDZD2"
"Pdzd2",1183,1.4300212707322e-36,-0.204849041889592,0.126,0.162,3.88007671387768e-32,"4hours",-0.036,"PDZD2"
"Jarid2",43,0,0.823429923104423,0.165,0.125,0,"Control",0.04,"JARID2"
"Jarid2",1044,4.69015851084731e-71,-0.417509889952916,0.113,0.136,1.2725807087482e-66,"4hours",-0.023,"JARID2"
"Jarid2",1706,2.50114182598919e-79,-0.451106382876292,0.105,0.139,6.78634811645647e-75,"12hours",-0.034,"JARID2"
"Jarid2",2279,6.04928577274956e-68,-0.47256727243041,0.097,0.141,1.64135270872014e-63,"2days",-0.044,"JARID2"
"Mtus1",903,1.81234116885193e-137,-0.637383513448266,0.073,0.144,4.91742529344594e-133,"4hours",-0.071,"MTUS1"
"Mtus1",44,0,0.820378869260058,0.2,0.119,0,"Control",0.081,"MTUS1"
"Mtus1",1315,0,-0.928971094503396,0.06,0.15,0,"12hours",-0.09,"MTUS1"
"Pank1",3110,3.87188965516176e-50,0.296897312309017,0.103,0.074,1.05055982013504e-45,"6weeks",0.029,"PANK1"
"Pank1",46,0,0.796734643181317,0.134,0.064,0,"Control",0.07,"PANK1"
"Slc22a28",47,0,0.784510324964183,0.151,0.089,0,"Control",0.062,"SLC22A9"
"Slc22a28",1983,0,-0.619931560180084,0.08,0.106,0,"2days",-0.026,"SLC22A9"
"Slc22a28",2769,0,0.9217331940904,0.183,0.083,0,"6weeks",0.1,"SLC22A9"
"Slc22a28",1386,0,-1.63407125267364,0.006,0.12,0,"12hours",-0.114,"SLC22A9"
"Slc22a28",710,0,-1.42671889626165,0.021,0.112,0,"4hours",-0.091,"SLC22A9"
"Phyhipl",1381,0,-1.49775707051799,0.02,0.136,0,"12hours",-0.116,"PHYHIPL"
"Phyhipl",2665,4.17467292283537e-47,-0.216632851242679,0.11,0.119,1.13271400415292e-42,"14days",-0.009,"PHYHIPL"
"Phyhipl",758,1.38614962986727e-274,-1.04191284526343,0.045,0.127,3.76103979071887e-270,"4hours",-0.082,"PHYHIPL"
"Phyhipl",48,0,0.780491709275416,0.164,0.105,0,"Control",0.059,"PHYHIPL"
"Phyhipl",2013,9.98602398254764e-301,0.669066281166523,0.198,0.101,2.70950788718465e-296,"2days",0.097,"PHYHIPL"
"Wdr17",1344,0,-1.15202529152792,0.05,0.132,0,"12hours",-0.082,"WDR17"
"Wdr17",49,0,0.775434803363617,0.155,0.109,0,"Control",0.046,"WDR17"
"Wdr17",826,1.01448225038498e-201,-0.991658574132553,0.057,0.127,2.75259468996956e-197,"4hours",-0.07,"WDR17"
"Wdr17",3111,1.31959302807738e-49,0.298811219993677,0.135,0.115,3.58045176308236e-45,"6weeks",0.02,"WDR17"
"Fnip2",2377,7.36301123338789e-307,-0.737520677599366,0.159,0.228,1.99780583795514e-302,"14days",-0.069,"FNIP2"
"Fnip2",50,0,0.774502385067901,0.279,0.2,0,"Control",0.079,"FNIP2"
"Fnip2",1334,0,-1.0668512556275,0.12,0.235,0,"12hours",-0.115,"FNIP2"
"Fnip2",658,0,0.571146917881744,0.233,0.215,0,"4hours",0.018,"FNIP2"
"Ptprd",51,0,0.773259817612025,0.284,0.236,0,"Control",0.048,"PTPRD"
"Ptprd",2402,8.02930803216515e-222,0.435210473255935,0.336,0.229,2.17859214836737e-217,"14days",0.107,"PTPRD"
"Ptprd",1376,0,-1.46662859193941,0.126,0.269,0,"12hours",-0.143,"PTPRD"
"Ptprd",711,0,-1.45466311340568,0.101,0.265,0,"4hours",-0.164,"PTPRD"
"Tfdp2",52,0,0.76746539479934,0.121,0.081,0,"Control",0.04,"TFDP2"
"Vmn1r18",53,0,0.748775179427404,0.12,0.049,0,"Control",0.071,"VN1R5"
"Nnt",55,0,0.74257731971661,0.135,0.081,0,"Control",0.054,"NNT"
"Nnt",2995,1.52608903248676e-81,0.34622535421227,0.11,0.088,4.14073737184632e-77,"6weeks",0.022,"NNT"
"Nnt",1515,1.2993590346441e-192,-0.692184370315693,0.053,0.1,3.52555086869983e-188,"12hours",-0.047,"NNT"
"Slc25a21",57,0,0.72089123910354,0.293,0.217,0,"Control",0.076,"SLC25A21"
"Slc25a21",1400,0,-1.97007510599419,0.071,0.264,0,"12hours",-0.193,"SLC25A21"
"Slc25a21",2823,5.09792324568923e-242,0.568483471307129,0.296,0.219,1.38321951425286e-237,"6weeks",0.077,"SLC25A21"
"Slc25a21",754,1.01360295148567e-277,-0.918303087341743,0.143,0.244,2.75020888826607e-273,"4hours",-0.101,"SLC25A21"
"Pik3c2g",2582,1.39692995770561e-70,-0.402818782424546,0.08,0.12,3.79029005424263e-66,"14days",-0.04,"PIK3C2G"
"Pik3c2g",2005,1.13437733483583e-308,0.519136214483518,0.189,0.099,1.18519144932511e-305,"2days",0.09,"PIK3C2G"
"Pik3c2g",58,0,0.714546823212615,0.165,0.1,0,"Control",0.065,"PIK3C2G"
"Pik3c2g",1317,0,-0.948380567884796,0.049,0.126,0,"12hours",-0.077,"PIK3C2G"
"Pik3c2g",1051,1.1397899475735e-68,-0.471735029537222,0.074,0.119,3.09259206475119e-64,"4hours",-0.045,"PIK3C2G"
"Cubn",2734,2.73524420587616e-28,-0.241685726291628,0.102,0.128,7.42153810380379e-24,"14days",-0.026,"CUBN"
"Cubn",3148,4.71111614905043e-40,0.243823926125236,0.149,0.118,1.27826714472185e-35,"6weeks",0.031,"CUBN"
"Cubn",1331,0,-1.05110093675142,0.04,0.14,0,"12hours",-0.1,"CUBN"
"Cubn",1057,1.12342672971629e-66,-0.291931951714374,0.085,0.129,3.04819374573921e-62,"4hours",-0.044,"CUBN"
"Cubn",59,0,0.706240181439595,0.183,0.108,0,"Control",0.075,"CUBN"
"Alas1",60,0,0.705257407488448,0.114,0.072,0,"Control",0.042,"ALAS1"
"Hgd",61,0,0.7035703163882,0.135,0.071,0,"Control",0.064,"HGD"
"Adtrp",62,0,0.689845800099005,0.124,0.068,0,"Control",0.056,"ADTRP"
"Zbtb20",1977,0,-0.471142392822511,0.532,0.5,0,"2days",0.032,"ZBTB20"
"Zbtb20",1349,0,-1.19153803456196,0.402,0.525,0,"12hours",-0.123,"ZBTB20"
"Zbtb20",2867,1.22183234665156e-174,0.274278884168944,0.565,0.492,3.31519770616969e-170,"6weeks",0.073,"ZBTB20"
"Zbtb20",63,0,0.689352112599496,0.487,0.51,0,"Control",-0.023,"ZBTB20"
"Slc27a2",64,0,0.688223552250314,0.104,0.079,0,"Control",0.025,"SLC27A2"
"Slc27a2",2815,7.12650488459231e-248,0.707658257833543,0.143,0.071,1.93363457033643e-243,"6weeks",0.072,"SLC27A2"
"Camta1",65,0,0.686970321226182,0.141,0.087,0,"Control",0.054,"CAMTA1"
"Camta1",2928,2.12273800824307e-111,-0.495601440468561,0.065,0.106,5.75962503776592e-107,"6weeks",-0.041,"CAMTA1"
"Camta1",2521,1.24751680454918e-93,0.411877361145713,0.139,0.091,3.38488734578329e-89,"14days",0.048,"CAMTA1"
"Camta1",1196,2.10359723119696e-33,-0.323341591942727,0.071,0.102,5.7076903674067e-29,"4hours",-0.031,"CAMTA1"
"Camta1",1318,0,-0.956130709424322,0.036,0.111,0,"12hours",-0.075,"CAMTA1"
"Agps",1647,1.35538001713207e-107,-0.310540139943709,0.17,0.177,3.67755260048446e-103,"12hours",-0.00699999999999998,"AGPS"
"Agps",2959,4.75124324110464e-92,0.304510344976337,0.191,0.172,1.28915482860892e-87,"6weeks",0.019,"AGPS"
"Agps",66,0,0.682318350061045,0.197,0.17,0,"Control",0.027,"AGPS"
"Agps",1172,6.00504383077042e-40,-0.325750195569969,0.137,0.181,1.62934854260294e-35,"4hours",-0.044,"AGPS"
"Agps",1985,0,-0.66446423514202,0.163,0.179,0,"2days",-0.016,"AGPS"
"Agps",2573,9.85642153114273e-74,-0.236409519513008,0.177,0.176,2.67434285404496e-69,"14days",0.001,"AGPS"
"Acsm1",2902,5.70026497854919e-129,0.453987115279521,0.254,0.193,1.54665289662975e-124,"6weeks",0.061,"ACSM1"
"Acsm1",1409,0,-2.60864248367413,0.032,0.237,0,"12hours",-0.205,"ACSM1"
"Acsm1",688,0,-0.972324655146861,0.141,0.212,0,"4hours",-0.071,"ACSM1"
"Acsm1",2642,1.87276633407967e-53,0.294351622180201,0.233,0.199,5.08137689425838e-49,"14days",0.034,"ACSM1"
"Acsm1",67,0,0.678745476653949,0.267,0.188,0,"Control",0.079,"ACSM1"
"Wnk1",1997,1.11253692932589e-308,-1.02818062573729,0.211,0.221,1.11253889060314e-308,"2days",-0.01,"WNK1"
"Wnk1",2711,4.86029997041275e-34,0.286410322402188,0.242,0.215,1.31874519097209e-29,"14days",0.027,"WNK1"
"Wnk1",68,0,0.678435985733628,0.186,0.228,0,"Control",-0.042,"WNK1"
"Wnk1",2813,8.83261706508603e-253,0.763013473546333,0.248,0.213,2.39655398826979e-248,"6weeks",0.035,"WNK1"
"Wnk1",1072,7.80827987397961e-62,-0.817045828818475,0.18,0.224,2.11862057820689e-57,"4hours",-0.044,"WNK1"
"Wnk1",1358,0,-1.28536961843415,0.243,0.215,0,"12hours",0.028,"WNK1"
"Nfyc",2473,2.92122724345973e-125,0.31443119653934,0.277,0.202,7.92616587967929e-121,"14days",0.075,"NFYC"
"Nfyc",1396,0,-1.82430755573023,0.047,0.247,0,"12hours",-0.2,"NFYC"
"Nfyc",718,0,-1.52782920063783,0.064,0.234,0,"4hours",-0.17,"NFYC"
"Nfyc",2814,5.81483401116186e-252,0.583168030895997,0.295,0.196,1.57773891224855e-247,"6weeks",0.099,"NFYC"
"Nfyc",69,0,0.676050261793446,0.274,0.198,0,"Control",0.076,"NFYC"
"Zfp697",2890,3.26307725195003e-140,0.464596881926514,0.199,0.145,8.85370750771601e-136,"6weeks",0.054,"ZNF697"
"Zfp697",1141,1.13099211393092e-46,-0.382867451085855,0.121,0.159,3.06872090272877e-42,"4hours",-0.038,"ZNF697"
"Zfp697",70,0,0.672496337603591,0.204,0.142,0,"Control",0.062,"ZNF697"
"Zfp697",2678,4.04376643812648e-43,-0.213501725912186,0.143,0.157,1.09719514765686e-38,"14days",-0.014,"ZNF697"
"Zfp697",1363,0,-1.35138419197479,0.053,0.174,0,"12hours",-0.121,"ZNF697"
"Gk",1380,0,-1.49206373311174,0.034,0.154,0,"12hours",-0.12,"GK3P"
"Gk",889,3.05553163092336e-145,-0.735924942249707,0.075,0.142,8.29057397418436e-141,"4hours",-0.067,"GK3P"
"Gk",3018,1.33219404111651e-73,0.261212897620411,0.171,0.126,3.61464209176142e-69,"6weeks",0.045,"GK3P"
"Gk",2155,1.17533737750927e-178,-0.20783259858795,0.142,0.133,3.1890429063959e-174,"2days",0.00899999999999998,"GK3P"
"Gk",71,0,0.671411675786913,0.171,0.125,0,"Control",0.046,"GK3P"
"Gk",2536,1.30220584447375e-88,0.406475190101519,0.179,0.126,3.53327511781062e-84,"14days",0.053,"GK3P"
"Pbx1",2969,9.75858494175171e-89,0.376493483041921,0.256,0.198,2.64779685224549e-84,"6weeks",0.058,"PBX1"
"Pbx1",726,0,-1.91804692340867,0.077,0.226,0,"4hours",-0.149,"PBX1"
"Pbx1",72,0,0.66822416329772,0.21,0.208,0,"Control",0.002,"PBX1"
"B3gat2",696,0,-1.11495544593541,0.054,0.147,0,"4hours",-0.093,"B3GAT2"
"B3gat2",73,0,0.664779028688623,0.191,0.122,0,"Control",0.069,"B3GAT2"
"B3gat2",1361,0,-1.30835808611741,0.039,0.155,0,"12hours",-0.116,"B3GAT2"
"B3gat2",2122,4.10767383806536e-200,0.385014870936721,0.2,0.124,1.11453514248227e-195,"2days",0.076,"B3GAT2"
"Slc12a6",945,3.94186099494575e-112,-0.511977639214523,0.078,0.115,1.06954514375863e-107,"4hours",-0.037,"SLC12A6"
"Slc12a6",2729,1.00746727429622e-29,0.227697972723789,0.133,0.107,2.73356095534793e-25,"14days",0.026,"SLC12A6"
"Slc12a6",74,0,0.659713492163869,0.155,0.099,0,"Control",0.056,"SLC12A6"
"Slc12a6",1477,1.23454878075268e-225,-0.703438820943376,0.052,0.122,3.34970120681625e-221,"12hours",-0.07,"SLC12A6"
